"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 11 20:51:40 GMT 2022","Fri Feb 11 20:51:46 GMT 2022","5903","Firefox","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1793","Chromium","tests/example.spec.ts","Hooks","","","Screenshots",""
"failed","Fri Feb 11 20:51:38 GMT 2022","Fri Feb 11 20:51:44 GMT 2022","5547","Chromium","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:06 GMT 2022","402","Firefox","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"failed","Fri Feb 11 20:51:33 GMT 2022","Fri Feb 11 20:51:38 GMT 2022","5507","Webkit","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","477","Webkit","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","2168","Firefox","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1282","Webkit","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 20:51:32 GMT 2022","Fri Feb 11 20:51:33 GMT 2022","401","Webkit","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","333","Chromium","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"failed","Fri Feb 11 20:51:34 GMT 2022","Fri Feb 11 20:51:39 GMT 2022","5533","Firefox","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 20:51:31 GMT 2022","Fri Feb 11 20:51:33 GMT 2022","1256","Chromium","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 20:51:33 GMT 2022","Fri Feb 11 20:51:33 GMT 2022","428","Chromium","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 20:51:33 GMT 2022","Fri Feb 11 20:51:38 GMT 2022","5300","Chromium","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"failed","Fri Feb 11 20:51:38 GMT 2022","Fri Feb 11 20:51:44 GMT 2022","5523","Webkit","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 20:51:31 GMT 2022","Fri Feb 11 20:51:33 GMT 2022","1897","Firefox","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 20:51:31 GMT 2022","Fri Feb 11 20:51:32 GMT 2022","1049","Webkit","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 20:51:33 GMT 2022","Fri Feb 11 20:51:34 GMT 2022","594","Firefox","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
